Pair,tau,tau_pvalue,rho_s,rho_pvalue
Bayer - Siemens,0.36051774847894485,0.0,0.5000045789174697,0.0
BMW - VOW,0.45323145240376633,0.0,0.6102931312204181,0.0
Siemens - VOW,0.3387607837056624,0.0,0.4727199853934785,0.0
