model,w,theta1,theta2,log_likelihood,iterations,start,converged,AIC,BIC
Frank-Clayton,0.2939355731736246,49.73519736356678,0.4454975018130928,9.62e+302,3,8,True,-1.924e+303,-1.924e+303
Gumbel-Clayton,0.7217246710832377,1.0000010160763313,7.815537448371138,9664.658121856271,31,5,True,-19323.316243712543,-19302.529129993076
