model,w,theta1,theta2,log_likelihood,iterations,start,converged,AIC,BIC
Gumbel-Clayton,0.7217260505727657,1.000001029917786,7.815544451485589,9664.710030746079,27,46,True,-19323.420061492157,-19302.63294777269
Frank-Clayton,0.41515442652962703,11.43119777519094,0.4237652622640143,1540.5238987657199,204,1,True,-3075.0477975314398,-3054.2606838119746
