group,method,portfolio,alpha,exceedance_ratio,exceedance_ratio_pct,average_exceedance_ratio,squared_distance_sum,relative_distance,n_forecasts
group_2,RM,w_star,0.05,0.05752212389380531,5.752212389380531,,,,6554
group_2,RM,w_1,0.05,0.05614891669209643,5.6148916692096424,,,,6554
group_2,RM,w_2,0.05,0.055080866646322856,5.508086664632286,,,,6554
group_2,RM,ALL_PORTFOLIOS,0.05,,,0.05608848953250528,0.0040233599804967565,1.2685992244198725,6554
group_2,RM,w_star,0.01,0.02014037229173024,2.014037229173024,,,,6554
group_2,RM,w_1,0.01,0.02014037229173024,2.014037229173024,,,,6554
group_2,RM,w_2,0.01,0.02014037229173024,2.014037229173024,,,,6554
group_2,RM,ALL_PORTFOLIOS,0.01,,,0.019513440510972063,0.009243628636126305,9.614379145907604,6554
group_2,MW,w_star,0.05,0.04302715898687824,4.302715898687824,,,,6554
group_2,MW,w_1,0.05,0.04897772352761672,4.897772352761672,,,,6554
group_2,MW,w_2,0.05,0.04699420201403723,4.699420201403723,,,,6554
group_2,MW,ALL_PORTFOLIOS,0.05,,,0.04637331294923817,0.0024088393049121574,0.9815985543820156,6554
group_2,MW,w_star,0.01,0.00503509307293256,0.503509307293256,,,,6554
group_2,MW,w_1,0.01,0.007934086054317974,0.7934086054317974,,,,6554
group_2,MW,w_2,0.01,0.007934086054317974,0.7934086054317974,,,,6554
group_2,MW,ALL_PORTFOLIOS,0.01,,,0.007405348407895411,0.000919952715074568,3.033072229727752,6554
group_2,LCP,w_star,0.05,0.0434848947207812,4.34848947207812,,,,6554
group_2,LCP,w_1,0.05,0.050045773573390295,5.00457735733903,,,,6554
group_2,LCP,w_2,0.05,0.047299359169972535,4.7299359169972535,,,,6554
group_2,LCP,ALL_PORTFOLIOS,0.05,,,0.04650323134235914,0.002326511126223599,0.9646784181733515,6554
group_2,LCP,w_star,0.01,0.0056454073848031736,0.5645407384803174,,,,6554
group_2,LCP,w_1,0.01,0.008086664632285627,0.8086664632285627,,,,6554
group_2,LCP,w_2,0.01,0.007171193164479707,0.7171193164479707,,,,6554
group_2,LCP,ALL_PORTFOLIOS,0.01,,,0.007418944518803422,0.000887529883657554,2.9791439771477206,6554
