group,method,portfolio,alpha,exceedance_ratio,exceedance_ratio_pct,average_exceedance_ratio,squared_distance_sum,relative_distance,n_forecasts
group_1,RM,w_star,0.05,0.0587132140796307,5.87132140796307,,,,6932
group_1,RM,w_1,0.05,0.05842469705712637,5.842469705712637,,,,6932
group_1,RM,w_2,0.05,0.05755914598961339,5.755914598961339,,,,6932
group_1,RM,w_3,0.05,0.05366416618580496,5.366416618580496,,,,6932
group_1,RM,w_4,0.05,0.0603000577034045,6.03000577034045,,,,6932
group_1,RM,w_5,0.05,0.058136180034622044,5.813618003462205,,,,6932
group_1,RM,w_6,0.05,0.058280438545874204,5.8280438545874205,,,,6932
group_1,RM,w_7,0.05,0.059723023658395845,5.972302365839584,,,,6932
group_1,RM,w_8,0.05,0.05856895556837854,5.856895556837854,,,,6932
group_1,RM,w_9,0.05,0.05856895556837854,5.856895556837854,,,,6932
group_1,RM,w_10,0.05,0.050778995960761686,5.077899596076168,,,,6932
group_1,RM,w_11,0.05,0.0566935949221004,5.66935949221004,,,,6932
group_1,RM,w_12,0.05,0.05929024812463935,5.929024812463935,,,,6932
group_1,RM,w_13,0.05,0.0571263704558569,5.71263704558569,,,,6932
group_1,RM,w_14,0.05,0.05308713214079631,5.3087132140796305,,,,6932
group_1,RM,w_15,0.05,0.058857472590882864,5.885747259088286,,,,6932
group_1,RM,w_16,0.05,0.05943450663589152,5.943450663589152,,,,6932
group_1,RM,w_17,0.05,0.0571263704558569,5.71263704558569,,,,6932
group_1,RM,w_18,0.05,0.05755914598961339,5.755914598961339,,,,6932
group_1,RM,w_19,0.05,0.058280438545874204,5.8280438545874205,,,,6932
group_1,RM,w_20,0.05,0.06001154068090017,6.001154068090017,,,,6932
group_1,RM,w_21,0.05,0.05626081938834391,5.626081938834391,,,,6932
group_1,RM,w_22,0.05,0.0571263704558569,5.71263704558569,,,,6932
group_1,RM,w_23,0.05,0.05467397576457011,5.467397576457011,,,,6932
group_1,RM,w_24,0.05,0.05799192152336988,5.799192152336988,,,,6932
group_1,RM,w_25,0.05,0.05856895556837854,5.856895556837854,,,,6932
group_1,RM,w_26,0.05,0.05856895556837854,5.856895556837854,,,,6932
group_1,RM,w_27,0.05,0.06001154068090017,6.001154068090017,,,,6932
group_1,RM,w_28,0.05,0.058280438545874204,5.8280438545874205,,,,6932
group_1,RM,w_29,0.05,0.05914598961338719,5.9145989613387195,,,,6932
group_1,RM,w_30,0.05,0.0587132140796307,5.87132140796307,,,,6932
group_1,RM,w_31,0.05,0.05842469705712637,5.842469705712637,,,,6932
group_1,RM,w_32,0.05,0.059723023658395845,5.972302365839584,,,,6932
group_1,RM,w_33,0.05,0.054962492787074435,5.4962492787074435,,,,6932
group_1,RM,w_34,0.05,0.05727062896710906,5.727062896710906,,,,6932
group_1,RM,w_35,0.05,0.05842469705712637,5.842469705712637,,,,6932
group_1,RM,w_36,0.05,0.0587132140796307,5.87132140796307,,,,6932
group_1,RM,w_37,0.05,0.05929024812463935,5.929024812463935,,,,6932
group_1,RM,w_38,0.05,0.05784766301211772,5.784766301211771,,,,6932
group_1,RM,w_39,0.05,0.05929024812463935,5.929024812463935,,,,6932
group_1,RM,w_40,0.05,0.05597230236583958,5.597230236583958,,,,6932
group_1,RM,w_41,0.05,0.06015579919215234,6.0155799192152335,,,,6932
group_1,RM,w_42,0.05,0.05741488747836122,5.741488747836122,,,,6932
group_1,RM,w_43,0.05,0.05856895556837854,5.856895556837854,,,,6932
group_1,RM,w_44,0.05,0.05452971725331795,5.452971725331794,,,,6932
group_1,RM,w_45,0.05,0.05207732256203116,5.207732256203116,,,,6932
group_1,RM,w_46,0.05,0.058136180034622044,5.813618003462205,,,,6932
group_1,RM,w_47,0.05,0.0566935949221004,5.66935949221004,,,,6932
group_1,RM,w_48,0.05,0.05799192152336988,5.799192152336988,,,,6932
group_1,RM,w_49,0.05,0.0571263704558569,5.71263704558569,,,,6932
group_1,RM,w_50,0.05,0.05582804385458742,5.582804385458743,,,,6932
group_1,RM,w_51,0.05,0.05914598961338719,5.9145989613387195,,,,6932
group_1,RM,w_52,0.05,0.059723023658395845,5.972302365839584,,,,6932
group_1,RM,w_53,0.05,0.05856895556837854,5.856895556837854,,,,6932
group_1,RM,w_54,0.05,0.05654933641084824,5.654933641084824,,,,6932
group_1,RM,w_55,0.05,0.05929024812463935,5.929024812463935,,,,6932
group_1,RM,w_56,0.05,0.055539526832083096,5.553952683208309,,,,6932
group_1,RM,w_57,0.05,0.05842469705712637,5.842469705712637,,,,6932
